水泥類
    C011010,水泥
    C023414,數字內容   
    C023416,社交網絡與媒體   
    C023417,流媒體   
    C023415,雲計算   
    C023418,Internet技術與設備   
    C023419,電商服務   
    C023030,圖像傳感器   
    C023420,數碼相機   
    C023421,數碼相機組裝   
    C023422,光學鏡片／頭   
    C023090,電話/傳真機   
    C023451,視頻轉換相關   
    C023452,數字電視   
    C023457,平板電腦   
    C023458,語音助理   
    C023460,消費性電子產品   
    C023550,安全監控系統   
    C023722,視頻會議產品   
    C023723,電子書閱讀器   
    C023726,攝像設備   
    C023325,拋光液/墊   
    C023327,光刻膠   
    C023480,電子化工材料   
    C023220,掃瞄儀   
    C023240,鼠標   
    C023250,鍵盤   
    C023260,光驅／刻錄機   
    C023490,外圍產品   
    C023492,打印機   
    C023493,存儲卡   
    C023495,儲存設備   
    C023496,3D打印機   
    C023497,打印機耗材   
    C023580,IC讀卡機   
    C023630,磁盤陣列控制單元   
    C023660,手寫板   
    C023680,硬盤相關   
    C023690,讀卡器   
    C016015,光纖光纜   
    C023500,光通信   
    C023504,光通信芯片   
    C023505,光纖預製棒   
    C023996,光有源器件   
    C023997,光無源器件   
    C023998,光通信設備   
    C023999,光通信元件   
    C023727,穿戴式裝置   
    C023728,智能手錶   
    C023729,智能眼鏡   
    C023738,智能手環   
    C023730,光伏   
    C023731,光伏硅片   
    C023732,光伏電池   
    C023733,光伏電池模塊   
    C023734,光伏系統運用   
    C023735,PVInverter   
    C023736,光伏導電漿料   
    C023737,光伏玻璃   
    C023739,光伏多晶硅   
    C023362,PC遊戲   
    C023455,家用遊戲機   
    C023800,遊戲行業   
    C023801,博彩設備   
    C023803,移動遊戲/手機遊戲   
    C023136,手機震動電機   
    C023292,手機面板驅動IC   
    C023294,手機外殼   
    C023296,手機按鍵   
    C023335,手機芯片相關   
    C023423,手機相機模組   
    C023802,手機零組件   
    C023202,金、錫凸塊   
    C023208,探針、探針卡   
    C023330,引線框架   
    C023331,IC基板   
    C023850,封測服務與材料   
    C023851,測試用板卡   
    C023297,受話器   
    C023880,電聲器件   
    C023881,耳機   
    C023882,微型揚聲器   
    C023885,麥克風   
    C023900,生物辨識相關   
    C023901,指紋辨識   
    C023902,人臉辨識   
    C023903,虹膜辨識   
    C023904,掌紋辨識   
    C023905,語音辨識   
    C023295,功率放大器   
    C023920,射頻前端芯片   
    C023921,低雜訊放大器   
    C023922,射頻開關   
    C023923,射頻前端模塊   
    C023140,台式機   
    C023145,服務器   
    C023150,筆記本電腦   
    C023151,筆記本電腦製造   
    C023300,主板   
    C023510,工控機   
    C023560,條碼掃描器   
    C023700,顯卡   
    C023702,准系統   
    C023721,POS機   
    C023760,電子製造服務   
    C023990,計算機系統業   
    C023205,USB   
    C023992,傳輸介面   
    C023993,Thunderbolt   
    C023994,Displayport   
    C023995,HDMI   
     ,
建築地產類    
    C025010,房地產開發   
    C025011,房屋中介   
    C025080,地產   
    C025092,物業投資發展   
    C025093,園區開發   
    C025094,墓地經營   
    C025020,住宅建設   
    C025021,基礎建設   
    C025022,其他營造工程   
    C025023,幕牆工程   
    C025030,建築設計、修建裝潢   
    C025031,園林造景   
    C025032,水電消防工程   
    C025090,營造工程   
    C099160,工程顧問   
    C099191,環保工程   
     ,
運輸類    
    C026010,倉儲／貨柜場   
    C026020,貨柜航運   
    C026030,散裝航運   
    C026040,陸上運輸   
    C026050,空運   
    C026060,客運   
    C026061,水上運輸   
    C026062,油輪   
    C026063,鐵路運輸服務   
    C026990,運輸事業   
    C029030,物流業   
     ,
觀光休閒娛樂類    
    C027010,旅館、餐飲   
    C027011,飯店   
    C027013,餐飲   
    C027014,渡假山莊   
    C027015,休閒食品零售   
    C027012,休閒娛樂   
    C027020,旅遊   
    C027021,主題樂園   
    C027022,博奕相關   
    C027024,電影院／劇院   
    C027025,俱樂部   
    C027026,陳列展覽相關   
    C027027,時尚產業   
    C027028,精品   
    C027029,化妝品   
    C027030,珠寶   
    C027040,美容   
    C099220,鐘表   
     ,
金融相關類    
    C028010,銀行   
    C028020,壽險   
    C028030,產險   
    C028031,保險經紀   
    C028040,票據   
    C028050,証金公司   
    C028060,証券   
    C028070,信託投資公司   
    C028090,投資信托   
    C028091,房地產投資信託   
    C028100,金融控股   
    C028110,租賃   
    C028120,金融其它   
    C028121,資產管理   
    C028122,再保險   
    C028123,消費金融   
    C028990,金融業   
     ,
百貨通路業    
    C027050,便利商店   
    C029001,流通業   
    C029010,百貨公司   
    C029020,貿易   
    C029021,書店   
    C029040,相片沖印   
    C029050,量販店、大賣場   
    C029060,藥品化妝品零售相關   
    C029070,連鎖超市   
    C029080,食品飲料相關通路   
    C029094,家居相關用品通路   
    C029090,無店舖販售   
    C029091,郵購   
    C029092,直銷   
    C029093,電視購物   
     ,
公共建設類    
    C025900,基礎建設營運   
    C025910,公路   
    C025930,機場   
    C025940,港口   
    C025950,鐵路   
    C025970,路橋   
    C025920,水利   
    C025980,水資源   
    C025981,海水淡化   
    C025982,污水處理廠   
    C025983,水資源設備/耗材   
    C025960,駕駛培訓班   
    C099100,加油站   
    C099370,其他公用事業   
    C099371,停車場   
    C099372,交通標誌   
     ,
控股類    
    C098020,控股公司   
     ,
生物醫藥類    
    C017000,醫藥行業   
    C017011,西藥製劑   
    C017012,中藥製劑   
    C017013,原料藥   
    C017014,新藥研發   
    C017015,植物新藥   
    C017016,生物製劑   
    C017017,維生素   
    C017023,醫藥研發外包服務   
    C017105,獸藥   
    C017116,醫藥流通   
    C017010,生物科技   
    C017018,生技特用化學品   
    C017019,農業生技   
    C017020,環保生技   
    C017021,生技服務   
    C017022,植物工廠   
    C017108,食品生技   
    C017100,醫療器械銷售管道   
    C017111,血糖儀   
    C017118,體外診斷產品   
    C017119,檢驗試劑／紙   
    C017121,IVD檢驗儀器設備   
    C017106,生命科學工具   
    C017107,醫療信息技術   
    C017110,血壓計   
    C017112,體溫計   
    C017122,診斷與監測用醫材   
    C017123,生理監測裝置   
    C017124,生理檢測器材   
    C017125,醫學影像裝置   
    C017114,洗腎器具   
    C017126,手術與治療用醫材   
    C017127,物理治療器具   
    C017128,呼吸與麻醉用器具   
    C017129,放射治療設備   
    C017131,動力手術器具   
    C017132,其他手術器械   
    C017101,電動代步車   
    C017104,福祉輔助設備   
    C017113,隱形眼鏡   
    C017115,醫用植入材料   
    C017133,輔助與彌補用醫材   
    C017134,人造關節   
    C017135,牙科植入器材   
    C017136,骨科類器材   
    C017109,醫療耗材   
    C017137,其他醫療器械   
    C017138,個人保護用器材   
    C017139,醫用家具   
    C017103,醫療服務   
    C017141,醫療管理服務   
    C017142,醫療檢驗服務   
     ,
初級產業類    
    C011020,農林漁牧   
    C011021,農產品種植   
    C011022,林業   
    C011023,漁業   
    C011024,食用菌種植   
    C011026,種子生產   
    C011028,水產養殖   
    C011029,畜牧業   
    C012018,家畜，家禽   
    C012023,飼料   
    C011027,礦石開採   
     ,
航天軍工類    
    C099340,航天軍工   
    C099341,衛星相關   
    C099342,航空器、飛機   
    C099343,太空飛行機械零組件   
    C099344,太空飛行通訊零組件   
    C099345,軍火工業   
     ,
能源類    
    C013001,石油開採   
    C013002,煉油   
    C013003,頁岩油／氣   
    C013191,燃氣儲運／分銷   
    C013980,石油及天然氣   
    C099070,天然氣   
    C099110,油品儲運／分銷   
    C099351,油氣採掘設備與工程   
    C099354,油氣採掘服務   
    C099360,能源   
    C099361,火力發電   
    C099362,餘熱發電   
    C099363,地熱發電   
    C099364,水力發電   
    C099365,風力發電   
    C099366,核能發電   
    C099367,供熱   
    C099368,太陽能發電   
    C099369,發電設備與零組件   
    C099410,煤   
    C099411,煤炭採選設備   
     ,
傳播出版類    
    C099090,傳播事業   
    C099091,電視台   
    C099092,出版業   
    C099094,報紙業   
    C099095,廣告   
    C099096,影視   
    C099097,有線電視   
    C099400,文化創意產業   
     ,
綜合類    
    C098010,綜合   
     ,
傳統行業及其他行業類    
    C018015,耐火建材   
    C099010,傳產其它   
    C099020,鞋業   
    C099021,鞋材   
    C099030,製罐   
    C099031,瓶蓋   
    C099093,印刷業   
    C099140,烤肉架   
    C099190,拉鍊   
    C099194,手提箱   
    C099200,玩具   
    C099210,底片   
    C099230,皮革製品   
    C099240,打火機   
    C099250,嬰童用品   
    C099260,眼鏡   
    C099270,眼鏡架   
    C099280,製帽   
    C099290,光學   
    C099300,文具   
    C099310,工藝品   
    C099320,金融機具   
    C099330,自動售貨機   
    C099331,寵物用品   
    C099332,樂器   
    C099333,複合材料   
    C099334,回收、焚化相關   
    C099335,煙草   
    C099336,木(竹)加工／製品   
    C099337,金屬加工／製品   
    C099338,工安產品   
    C099395,碳權相關   
    C099060,資產股   
    C017102,健身器材   
    C027023,運動競賽   
    C099150,高爾夫球杆頭   
    C099380,運動產業   
    C099381,運動服   
    C099382,運動鞋   
    C099383,運動用品   
    C099384,球具   
    C099385,球場   
    C099040,保安   
    C099355,礦產採掘服務   
    C099390,服務業   
    C099391,消費者服務   
    C099392,商業服務／顧問   
    C099393,教育事業   
    C099394,人力資源   
    C099396,殯葬服務   
    C099397,婚宴顧問   
    C099398,清潔服務   
